verbo|traducao|exemplo|nivel
entbehren|não ter, carecer de|Die Geschichte entbehrt jeder Logik.|B2
entgegenwirken|contra-agir, combater|Man muss den Problemen entgegenwirken.|B2
entwerten|invalidar, desvalorizar|Bitte entwerten Sie Ihre Fahrkarte.|B2
erfordern|exigir, requerer|Diese Aufgabe erfordert viel Geduld.|B2
ergeben|resultar, produzir, render-se|Das Experiment ergab interessante Ergebnisse.|B2
ergreifen|agarrar, tomar (medidas);|Die Regierung ergriff Maßnahmen gegen die Krise.|B2
erhalten|manter, receber, obter|Ich habe eine E-Mail erhalten.|B2
erlassen|promulgar (lei), perdoar|Das Parlament hat ein neues Gesetz erlassen.|B2
erneuern|renovar|Wir müssen die alte Heizung erneuern.|B2
erwerben|adquirir, obter|Er hat sich neue Sprachkenntnisse erworben.|B2
erwirtschaften|gerar (lucro), produzir|Das Unternehmen erwirtschaftete einen hohen Gewinn.|B2
erzeugen|produzir, gerar|Dieses Kraftwerk erzeugt Strom.|B2
fasen|fazer chanfro, biselar (termo técnico)|Die Kante muss noch gefast werden.|B2
färben|tingir, colorir|Sie lässt sich die Haare färben.|B2
fetten|engraxar, lubrificar|Man muss die Kette fetten.|B2
festlegen|fixar, determinar|Der Termin wurde festgelegt.|B2
festhalten|segurar firmemente, registrar|Halten Sie sich gut fest!|B2
filtern|filtrar|Das Wasser muss gefiltert werden.|B2
florieren|florescer, prosperar|Das Geschäft floriert gut.|B2
formen|moldar, formar|Der Künstler formt eine Skulptur aus Ton.|B2
fortbilden (sich)|aperfeiçoar-se, fazer formação continuada|Er bildet sich ständig fort.|B2
fortschreiten|progredir, avançar|Die Forschung schreitet schnell fort.|B2
fressen|comer (para animais), devorar|Der Hund frisst sein Futter.|B2
führen|conduzir, liderar|Sie führt das Unternehmen erfolgreich.|B2
funken|emitir faíscas, transmitir por rádio|Der Funke funkelt im Dunkeln.|B2
fußen auf D|basear-se em|Seine Theorie fußt auf vielen Experimenten.|B2
füttern|alimentar|Wir müssen die Tiere füttern.|B2
gebären|dar à luz|Sie hat ein gesundes Kind geboren.|B2
gebieten|ordenar, exigir|Die Situation gebietet schnelles Handeln.|B2
gebühren|ser devido, caber (a)|Es gebührt ihm Respekt.|B2
gelingen|ter sucesso, conseguir|Das Experiment ist gelungen.|B2
genehmigen|aprovar, autorizar|Der Antrag wurde genehmigt.|B2
geraten|cair, parar em, entrar em (situação)|Er ist in Schwierigkeiten geraten.|B2
gestalten|dar forma, criar, organizar|Wir gestalten unsere Zukunft selbst.|B2
gewährleisten|garantir|Der Staat muss die Sicherheit gewährleisten.|B2
gewinnen|ganhar, obter|Wir müssen das Spiel gewinnen.|B2
grasen|pastar|Die Kühe grasen auf der Wiese.|B2
greifen zu D|recorrer a, usar (algo);|Er greift zu drastischen Maßnahmen.|B2
großziehen|criar (filhos), educar|Sie hat ihre Kinder allein großgezogen.|B2
haushalten|gerenciar o orçamento, economizar|Man muss gut haushalten, um Geld zu sparen.|B2
hauen|bater, golpear|Er hat mit dem Hammer auf den Nagel gehauen.|B2
heilen|curar|Der Arzt konnte die Wunde heilen.|B2
hervorrufen|provocar, causar|Das Ereignis rief große Freude hervor.|B2
knien|ajoelhar-se|Er kniete nieder, um zu beten.|B2
kompostieren|compostar|Wir kompostieren unsere Bioabfälle.|B2
konfektionieren|confeccionar, montar|Die Kleider werden hier konfektioniert.|B2
konsumieren|consumir|Die Bevölkerung konsumiert viel Zucker.|B2
ketten|acorrentar|Der Hund ist angekettet.|B2
kleiden|vestir, adequar-se (roupa)|Diese Farbe kleidet dich gut.|B2
klatschen|aplaudir, fofocar|Das Publikum klatschte laut.|B2
lärmen|fazer barulho|Die Kinder lärmen im Garten.|B2
legalisieren|legalizar|Die Regierung will das Gesetz legalisieren.|B2
liefern|entregar, fornecer|Die Firma liefert die Waren am Dienstag.|B2
listen|listar, enumerar|Bitte listen Sie alle Punkte auf.|B2
münzen auf A|mirar em, visar (algo);|Die Bemerkung war auf mich gemünzt.|B2
nachgehen|investigar, seguir (uma atividade);|Die Polizei geht einem Hinweis nach.|B2
nachweisen|comprovar, provar|Er konnte seine Unschuld nachweisen.|B2
niederlegen|depor, renunciar, deitar (algo)|Der Präsident hat sein Amt niedergelegt.|B2
obliegen|caber a, ser da responsabilidade de|Diese Aufgabe obliegt dem Teamleiter.|B2
pflegen|cuidar, cultivar|Sie pflegt ihre Großmutter.|B2
pilgern|peregrinar|Viele Menschen pilgern nach Santiago de Compostela.|B2
platzen|estourar, rebentar|Der Ballon ist geplatzt.|B2
plakatieren|colar cartazes|Man darf hier keine Plakate plakatieren.|B2
preisen|louvar, elogiar|Er preist die Vorzüge des neuen Produkts.|B2
pressen|pressionar, espremer|Sie presst den Saft aus den Orangen.|B2
qualifizieren (sich für A)|qualificar-se para|Sie hat sich für die Weltmeisterschaft qualifiziert.|B2
rasen|correr em alta velocidade, enfurecer-se|Das Auto rast über die Autobahn.|B2
rauschen|murmurar (água, vento), zumbir|Der Wind rauscht in den Bäumen.|B2
regen (sich)|mover-se, agitar-se (raro)|Es regt sich etwas im Gebüsch.|B2
reinigen|limpar|Die Kleidung muss gereinigt werden.|B2
ringen|lutar, espremer|Er ringt um Fassung.|B2
ruhen|descansar|Er ruht sich nach der Arbeit aus.|B2
salben|ungir, aplicar pomada|Der Apotheker salbt die Wunde.|B2
schädigen|danificar, prejudicar|Rauchen schädigt die Gesundheit.|B2
schalten|mudar (marcha), ligar/desligar|Bitte schalten Sie den Motor ein.|B2
scheren|tosquiar, barbear (arcaico), importar-se (coloquial)|Das schert mich nicht!|C1
schlucken|engolir|Er schluckt die Tablette.|B2
schmecken nach D|ter gosto de|Der Kuchen schmeckt nach Zitrone.|A2
schminken|maquiar-se|Sie schminkt sich jeden Morgen.|B1
schütteln|sacudir, tremer|Er schüttelt den Kopf.|B1
schütten|derramar, despejar|Sie schüttet Wasser in den Eimer.|B2
schwitzen|suar|Ich schwitze, weil es so heiß ist.|B1
segeln|velejar|Wir segeln auf dem See.|A2
senken|baixar, diminuir|Man muss die Kosten senken.|B1
sinnen|pensar profundamente, meditar (arcaico ou poético)|Er sinnt über seine Zukunft nach.|C1
sinken|afundar, diminuir|Die Temperaturen sind gesunken.|B1
spaßen|brincar, fazer piada|Er spaßt gerne mit seinen Freunden.|B2
spannen|esticar, tensionar|Spann den Bogen!|B2
speisen|comer (formal), jantar|Wir speisen heute Abend im Restaurant.|B2
spendieren|oferecer, custear|Er spendiert uns einen Kaffee.|B2
sperren|bloquear, fechar, proibir o acesso|Die Straße ist gesperrt.|B1
spitzen|apontar (lápis), afiar|Er spitzt seinen Bleistift.|B2
spritzen|injetar, espirrar|Der Arzt spritzt ihm ein Medikament.|B1
stammen aus D|originar-se de, provir de|Er stammt aus einer alten Familie.|B2
stauen|represar, acumular|Der Verkehr staut sich auf der Autobahn.|B2
stechen|picar, espetar|Die Biene hat mich gestochen.|B1
stehlen|roubar|Jemand hat mein Fahrrad gestohlen.|A2
steigern|aumentar, intensificar|Man muss die Produktion steigern.|A2
stecken|colocar, estar, ficar|Der Schlüssel steckt im Schloss.|A2
stellen|colocar (em pé), pôr|Stell die Flasche auf den Tisch.|A2
stocken|parar, hesitar, estagnar|Der Verkehr stockt auf der Autobahn.|B2
stoßen|empurrar, colidir, chutar (bola);|Er hat sich am Kopf gestoßen.|B2
stranden|encalhar, naufragar, ficar preso|Das Schiff ist gestrandet.|B2
streben nach D|aspirar a, esforçar-se por|Er strebt nach Perfektion.|B2
strecken|esticar|Streck deine Arme nach oben.|B1
stürzen|cair (subitamente), derrubar|Er ist die Treppe hinuntergestürzt.|B2
tasten|apertar, apalpar, tatear|Sie tastete nach dem Lichtschalter.|B2
tauchen|mergulhar|Ich tauche gerne im Meer.|B1
teilen|dividir, compartilhar|Wir teilen uns ein Zimmer.|B1
ticken|tiquetaquear, funcionar (coloquial);|Die Uhr tickt laut.|B2
töten|matar|Der Jäger tötet das Tier.|B1
tragen|carregar, vestir|Sie trägt eine Tasche.|A1
träge|preguiçoso, inerte (usado como adjetivo, mas pode implicar estado);|Er ist sehr träge geworden.|B2
trainieren|treinar|Ich trainiere dreimal pro Woche.|A2
transportieren|transportar|Die Waren werden mit dem LKW transportiert.|B1
treiben|praticar (esporte), impulsionar|Er treibt viel Sport.|A2
treu|fiel (usado como adjetivo, mas pode implicar ação);|Er ist ein treuer Freund.|A2
trocken|seco (usado como adjetivo, mas pode implicar estado);|Der Boden ist trocken.|A2
tropfen|pingar|Wasser tropft aus dem Wasserhahn.|B1
tun|fazer, pôr|Was tust du gerade?|A2
überarbeiten|revisar, reformular|Ich muss meine Präsentation überarbeiten.|B2
überholen|ultrapassar|Das Auto hat den LKW überholt.|A2
überlassen|deixar (para alguém), ceder|Ich überlasse dir die Entscheidung.|B2
übernehmen|assumir, encarregar-se|Er hat die Leitung des Projekts übernommen.|B1
übertragen|transmitir, transferir, traduzir|Das Spiel wird live übertragen.|B2
überzeugen|convencer|Er konnte sie von seiner Idee überzeugen.|B1
umfassen|abranger, incluir|Der Bericht umfasst alle wichtigen Punkte.|B2
umgehen mit D|lidar com, manusear|Sie kann gut mit Stress umgehen.|B2
umwandeln|transformar, converter|Man kann Sonnenenergie in Strom umwandeln.|B2
unternehmen|empreender, fazer (uma atividade);|Wir wollen etwas zusammen unternehmen.|B1
unterrichten|ensinar|Sie unterrichtet Deutsch an der Schule.|B1
unterstreichen|sublinhar, enfatizar|Bitte unterstreichen Sie die wichtigen Wörter.|B1
unterstützen|apoiar, sustentar|Ich unterstütze dich bei deinem Vorhaben.|B1
verabreden (sich mit D)|combinar um encontro com|Ich habe mich mit einem Freund verabredet.|B1
veranlassen|provocar, mandar (fazer algo);|Was hat diese Reaktion veranlasst?|B2
verbinden|conectar, unir, ligar (telefone);|Ich verbinde Sie mit der Zentrale.|B2
verbieten|proibir|Rauchen ist hier verboten.|B1
verbrennen|queimar, incinerar|Das Holz verbrennt im Ofen.|B1
verbessern|melhorar|Sie möchte ihre Deutschkenntnisse verbessern.|A2
verderben|estragar, mimar|Die Hitze hat das Essen verdorben.|B2
verdoppeln (sich)|duplicar, dobrar|Die Zahl der Anmeldungen hat sich verdoppelt.|B1
verfahren|proceder, agir, perder-se (no caminho);|Wie sollen wir jetzt verfahren?|B2
vergiften|envenenar|Die Chemikalien haben das Wasser vergiftet.|B2
vergrößern (sich)|aumentar, ampliar|Das Unternehmen will sich vergrößern.|B1
verhandeln|negociar|Wir müssen über den Preis verhandeln.|B2
verkehren|trafegar, frequentar (locais);|Es verkehren viele Züge auf dieser Strecke.|C1
verkleinern (sich)|diminuir, reduzir|Die Gruppe hat sich verkleinert.|B1
verlangsamen|desacelerar, retardar|Man muss den Prozess verlangsamen.|B2
verlängern|prolongar, estender|Ich möchte meinen Mietvertrag verlängern.|B1
vermieten|alugar (para outros)|Sie vermietet eine Wohnung.|A2
vermitteln|intermediar, transmitir|Er vermittelt zwischen den Parteien.|B2
verpflegen|alimentar, prover alimentação|Die Gäste wurden gut verpflegt.|B2
verringern (sich)|diminuir, reduzir|Der Lärm hat sich verringert.|B1
verrichten|executar, realizar (trabalho);|Er verrichtet seine Arbeit gewissenhaft.|B2
verseuchen|contaminar, infestar|Das Gebiet wurde verseucht.|B2
versichern|assegurar, garantir|Ich versichere Ihnen, dass alles in Ordnung ist.|B2
versorgen (mit D)|fornecer, abastecer com|Wir versorgen die Stadt mit Strom.|B2
verwalten|administrar, gerenciar|Sie verwaltet das Büro.|B2
verwandeln|transformar|Der Frosch verwandelte sich in einen Prinzen.|B2
vermeiden|evitar|Man sollte Fehler vermeiden.|B2
verzeichnen|registrar, anotar|Das Unternehmen verzeichnete hohe Gewinne.|B2
verzichten auf A|renunciar a, abrir mão de|Ich verzichte auf Zucker in meinem Kaffee.|B1
vollziehen|executar, realizar (formal)|Der Richter vollzieht das Urteil.|B2
voraussetzen|pressupor, exigir como pré-requisito|Das Studium setzt gute Englischkenntnisse voraus.|B2
vorschreiben|prescrever, determinar|Der Arzt hat mir Ruhe verschrieben.|B2
vorsorgen|prevenir, tomar precauções|Man sollte für das Alter vorsorgen.|B2
wagen|ousar, atrever-se|Er wagte einen Sprung ins kalte Wasser.|B2
wandeln|transformar, mudar|Die Landschaft wandelt sich im Herbst.|B2
warten auf A|esperar por|Ich warte auf dich.|A2
wecken|acordar (alguém);|Kannst du mich morgen früh wecken?|A2
weinen|chorar|Das Baby weint.|A2
weisen|apontar, indicar|Er weist auf das Schild.|B2
werben|anunciar, recrutar|Die Firma wirbt für ihre Produkte.|B1
werken|trabalhar, fazer trabalhos manuais|Er werkt gerne in seiner Werkstatt.|B2
werten|avaliar, valorizar|Der Coach wertet die Leistung der Spieler.|B2
wetten|apostar|Ich wette, dass es regnen wird.|B2
winken|acenar|Sie winkt mir zum Abschied.|B1
wischen|limpar (com pano), esfregar|Wisch bitte den Tisch ab.|B2
wissen|saber|Ich weiß die Antwort nicht.|A1
wünschen (sich)|desejar, querer|Ich wünsche mir ein neues Buch.|A2
zählen|contar|Die Kinder zählen ihre Spielsachen.|A2
zielen|mirar, ter como objetivo|Er zielt auf die Zielscheibe.|B2
ziehen|puxar, mudar (de roupa/lugar), arrastar|Zieh die Tür zu!|B1
zubereiten|preparar (comida)|Sie bereitet ein leckeres Essen zu.|B1
zuhören|escutar (com atenção)|Bitte hör mir zu!|A2
zumachen|fechar|Kannst du bitte das Fenster zumachen?|A1
zurechtkommen|lidar com, dar conta de|Ich komme mit der Situation zurecht.|B2
zureichend|suficiente (usado como adjetivo, mas pode implicar estar disponível);|Die Informationen sind nicht zureichend.|C2
zusammenbrechen|colapsar, desabar|Das alte Gebäude ist zusammengebrochen.|B2
zusammenfassen|resumir|Fassen Sie die wichtigsten Punkte zusammen.|B1
zusammenhängen mit D|estar relacionado com|Das Problem hängt mit dem Wetter zusammen.|B2
zusammenleben mit D|viver junto com|Sie leben seit Jahren zusammen.|B1
zusammenstoßen mit D|colidir com|Das Auto ist mit einem Baum zusammengestoßen.|B1
zustellen|entregar (correspondência);|Der Postbote stellt die Briefe zu.|B2
zuzahlen|coparticipar, pagar uma parte|Patienten müssen einen Teil der Kosten zuzahlen.|B2
zweit|segundo (usado como numeral, mas pode implicar ordem);|Er ist der Zweite im Rennen.|B1
zwecken|servir para (um propósito);|Wozu zweckt dieses Werkzeug?|C1

