verbo|traducao|exemplo|nivel
die Qualität, -en|a qualidade|Die Qualität ist sehr gut.|B2
der Quark (kein Pl.)|o requeijão (tipo alemão);|Ich esse Quark mit Früchten.|B1
die Quelle, -n|a fonte|Das ist eine wichtige Quelle.|B1
der Rucksack, -e|a mochila|Ich packe meinen Rucksack.|A2
der Radiergummi, -s|a borracha|Ich brauche einen Radiergummi.|A1
das Radio, -s|o rádio|Ich höre gern Radio.|A1
das Rad, -er|a roda, a bicicleta|Das Rad ist kaputt.|A1
der Rat, die Ratschläge|o conselho|Kannst du mir einen Rat geben?|B1
das Rathaus, -er|a prefeitura|Das Rathaus ist im Stadtzentrum.|A2
der Rauch (fast nie Pl.)|a fumaça|Der Rauch stört mich.|B1
das Rauchverbot, -e|a proibição de fumar|Es gibt ein Rauchverbot in Restaurants.|B1
der Rausch, -e|a embriaguez, o delírio|Er ist im Rausch der Geschwindigkeit.|B1
das Rauschgift, -e|a droga (ilegal)|Rauschgift ist gefährlich.|B1
die Realschule, -n|a escola secundária (tipo específico na Alemanha)|Sie geht auf die Realschule.|A2
das Regal, -e|a prateleira|Das Buch steht im Regal.|A1
die Regel, -n|a regra|Bitte halten Sie die Regeln ein.|A2
die Rechnung, -en|a conta|Bitte bringen Sie mir die Rechnung.|A1
die Region, -en|a região|Die Region ist sehr schön.|B1
die Religion, -en|a religião|Welche Religion haben Sie?|B1
die Reparatur, -en|o reparo|Die Reparatur ist teuer.|B1
der Report, -e|o relatório|Ich muss einen Report schreiben.|B1
das Rezept, -e|a receita (culinária ou médica)|Ich habe ein neues Rezept ausprobiert.|A2
die Rezeption, -en|a recepção|Bitte fragen Sie an der Rezeption.|A2
die Revolution, -en|a revolução|Die Revolution hat das Land verändert.|B1
die Richtung, -en|a direção|In welche Richtung müssen wir gehen?|B1
das Risiko, Risiken|o risco|Das Risiko ist hoch.|B1
das Resultat, -e|o resultado|Das Resultat der Prüfung war gut.|B1
das Restaurant, -s|o restaurante|Wir gehen heute Abend ins Restaurant.|A1
die Rettung, -en|o resgate, a salvação|Die Rettung kam schnell.|B1
der Richter, - / die Richterin, -nen|o juiz / a juíza|Der Richter spricht das Urteil.|B1
das Rind, -er|o gado, a carne bovina|Ich esse gern Rindfleisch.|B1
der Rotwein, -e|o vinho tinto|Ich trinke gern Rotwein.|A1
der Rücken, -|as costas|Mir tut der Rücken weh.|A2
das Ruder, -|o remo, o leme|Er sitzt am Ruder des Bootes.|B1
die Ruhe (kein Plural)|a calma, o sossego|Ich brauche Ruhe.|A2
die Rundfahrt, -en|o passeio, a excursão (circular);|Wir machen eine Rundfahrt durch die Stadt.|A2
der Saft, -e|o suco|Ich trinke gern Apfelsaft.|A1
die Sache, -n|a coisa, o assunto|Das ist eine gute Sache.|A2
die Sahne (kein Pl.)|o creme de leite|Möchtest du Sahne zum Kuchen?|A2
der Salat, -e|a salada|Ich esse gern Salat.|A1
das Salz, -e|o sal|Das Essen braucht mehr Salz.|A2
der Sänger, - / die Sängerin, -nen|o cantor / a cantora|Die Sängerin hat eine schöne Stimme.|A2
der Satz, -e|a frase|Bitte bilden Sie einen Satz.|A1
der Schalter, -|o interruptor, o balcão|Der Schalter ist hier.|B1
der Schatten, -|a sombra|Es ist kühl im Schatten.|B1
das Schaufenster, -|a vitrine|Ich schaue gern Schaufenster an.|B1
das Schaf, -e|a ovelha|Das Schaf frisst Gras.|B1
die Schachtel, -n|a caixa, a embalagem|Ich habe eine Schachtel Pralinen gekauft.|B1
der Schinken, -|o presunto|Ich esse gern Schinkenbrot.|A1
das Schiff, -e|o navio|Das Schiff fährt aufs Meer.|A2
das Schild, -er|a placa, o escudo|Bitte beachten Sie das Schild!|A2
Certo! Aqui está o terceiro grupo de 20 substantivos do nível A2.
der Schlaf (kein Pl.)|o sono|Ich brauche mehr Schlaf.|A2
das Schlafzimmer, -|o quarto de dormir|Das Schlafzimmer ist sehr gemütlich.|A2
schlank|magro/a|Sie ist sehr schlank.|A2
der Schlag, -e|o golpe, a batida|Er hat einen Schlag auf den Kopf bekommen.|A2
die Schokolade, -n|o chocolate|Ich esse gern Schokolade.|A1
die Schule, -n|a escola|Meine Kinder gehen in die Schule.|A1
der Schüler, - / die Schülerin, -nen|o aluno / a aluna|Die Schüler lernen Deutsch.|A1
das Schulfach, -er|a disciplina escolar|Mein Lieblingsschulfach ist Geschichte.|A2
der Schlüssel, -|a chave|Wo ist mein Schlüssel?|A2
das Schmuck (fast nie Plural)|a joia, o adorno|Sie trägt schönen Schmuck.|B1
der Schnaps, -e|a aguardente, o conhaque|Ich trinke keinen Schnaps.|B1
der Schnupfen, -|o resfriado|Ich habe Schnupfen.|A2
schön|bonito/a|Das ist ein schönes Bild.|A1
die Schönheit, -en|a beleza|Die Schönheit der Natur ist beeindruckend.|A2
der Schrank, -e|o armário|Der Schrank ist voll.|A2
der Schreibtisch, -e|a escrivaninha|Ich arbeite an meinem Schreibtisch.|A2
der Schreiner, - / die Schreinerin, -nen|o carpinteiro / a carpinteira|Der Schreiner baut Möbel.|B1
der Schritt, -e|o passo|Bitte gehen Sie einen Schritt zurück.|A2
der Schuh, -e|o sapato|Ich brauche neue Schuhe.|A2
die Schuld, -en|a culpa, a dívida|Es ist nicht meine Schuld.|B1
der Schutz (kein Plural)|a proteção|Der Schutz der Umwelt ist wichtig.|B1
die Schweiz|a Suíça|Die Schweiz ist ein schönes Land.|A2
das Schwein, -e|o porco|Das Schwein lebt auf dem Bauernhof.|A2
die Schwester, -n|a irmã|Meine Schwester ist jünger als ich.|A1
der See, -n|o lago|Wir schwimmen im See.|A2
die See (kein Pl.)|o mar (específico para água, navegação);|Wir fahren auf See.|B1
die Seele, -n|a alma|Er hat eine gute Seele.|B1
die Sehenswürdigkeit, -en|o ponto turístico|Berlin hat viele Sehenswürdigkeiten.|B1
die Seife, -n|o sabonete|Ich wasche meine Hände mit Seife.|B1
die Seide, -n|a seda|Das Kleid ist aus Seide.|B1
die Selbstbedienung, -en|o autoatendimento|Das Restaurant hat Selbstbedienung.|B1
der Sessel, -|a poltrona|Ich sitze gern im Sessel.|A1
der Sex (kein Plural)|o sexo|Sex ist ein wichtiger Teil des Lebens.|B1
die Sexualität (fast nie Pl.)|a sexualidade|Sie spricht offen über ihre Sexualität.|B1
die Sicherheit, -en|a segurança|Die Sicherheit der Daten ist wichtig.|B1
der Sieg, -e|a vitória|Unsere Mannschaft hat den Sieg errungen.|B1
der Sieger, -|o vencedor|Er ist der Sieger des Rennens.|B1
das Silber (kein Plural)|a prata|Der Ring ist aus Silber.|A2
die Silbe, -n|a sílaba|Dieses Wort hat drei Silben.|B1
der Single, -s|o solteiro|Er ist ein Single.|A2
der Snack, -s|o lanche|Ich brauche einen Snack für zwischendurch.|B1
der Sohn, -e|o filho|Ihr Sohn ist sehr groß.|A1
die Socke, -n|a meia|Ich habe neue Socken gekauft.|B1
das Sofa, -s|o sofá|Ich sitze gern auf dem Sofa.|A1
der Soldat, -en|o soldado|Der Soldat kämpft für sein Land.|A2
die Sonnenenergie, -n|a energia solar|Sonnenenergie ist umweltfreundlich.|B1
der Sonnenkollektor, -en|o coletor solar|Der Sonnenkollektor erzeugt warmes Wasser.|B1
das Sonnenlicht (kein Plural)|a luz solar|Sonnenlicht ist gut für die Gesundheit.|B1
der Soße, -n|o molho|Die Soße schmeckt sehr gut.|B1
die Sozialkunde, -n|a sociologia, estudos sociais|Sozialkunde ist ein interessantes Fach.|A2
die Sparkasse, -n|a caixa econômica|Ich habe ein Konto bei der Sparkasse.|A2
der Speck (fast nie Pl.)|o toucinho, o bacon|Ich esse gern Speck zum Frühstück.|B1
der Speisesaal, -e|a sala de jantar, o refeitório|Wir essen im Speisesaal zu Abend.|B1
die Spezialität, -en|a especialidade|Die Spezialität des Hauses ist Pizza.|B1
der Spezialist, -en / die Spezialistin, -nen|o especialista / a especialista|Er ist ein Spezialist für Computer.|A2
die Spitze, -n|a ponta, o auge|Er steht an der Spitze der Liste.|B1
die Sprache, -n|a língua, o idioma|Ich lerne Deutsch, eine neue Sprache.|A2
der Sprachkurs, -e|o curso de idiomas|Ich besuche einen Sprachkurs.|A2
der Sprecher, - / die Sprecherin, -nen|o orador / a oradora, o locutor / a locutora|Der Sprecher hat eine klare Stimme.|A2
die Sprechstunde, -n|o horário de atendimento (médico, professor);|Die Ärztin hat Sprechstunde von 9 bis 12 Uhr.|B1
die Spritze, -n|a injeção, a seringa|Der Arzt gibt mir eine Spritze.|B1
das Sprichwort, -er|o provérbio|Ein altes Sprichwort sagt: "Wer zuerst kommt, mahlt zuerst."|B1
der Sport (kein Pl.)|o esporte|Ich mache gern Sport.|A1
der Sportplatz, -e|a quadra esportiva, o campo de esportes|Die Kinder spielen auf dem Sportplatz.|A2
die Sportveranstaltung, -en|o evento esportivo|Die Sportveranstaltung war sehr gut besucht.|A2
der Staat, -en|o estado|Der Staat schützt seine Bürger.|B1
der Standard, -s|o padrão|Das ist ein hoher Standard.|A2
die Stadt, -e|a cidade|Ich wohne in einer großen Stadt.|A1
der Stadtplan, -e|o mapa da cidade|Ich brauche einen Stadtplan.|A1
der Stadtteil, -e|o bairro|Ich wohne in einem schönen Stadtteil.|B1
das Stadion, -s|o estádio|Das Stadion war voll.|A2
der Stall, -e|o estábulo|Die Pferde leben im Stall.|B1
der Star, -s|a estrela (artista);|Der Star singt auf der Bühne.|B1
der Stau, -s|o engarrafamento|Es gibt einen langen Stau auf der Autobahn.|A2
der Staubsauger, -|o aspirador de pó|Ich brauche einen neuen Staubsauger.|A2
die Steckdose, -n|a tomada|Wo ist die Steckdose?|A2
der Stecker, -|o plugue, o conector|Der Stecker passt nicht in die Steckdose.|B1
die Stelle, -n|o lugar, a vaga (de emprego);|Ich habe eine neue Stelle gefunden.|A2
die Stellenanzeige, -n|o anúncio de vaga|Ich lese Stellenanzeigen in der Zeitung.|A2
der Stern, -e|a estrela|Die Sterne leuchten am Himmel.|A2
der Steward, -s / die Stewardess, -en|o comissário de bordo / a comissária de bordo|Der Steward serviert Getränke.|A2
der Stift, -e|a caneta, o lápis|Ich brauche einen Stift.|A1
der Stil, -e|o estilo|Ich mag ihren Stil.|B1
die Stimmung, -en|o humor, o clima (de um ambiente);|Die Stimmung auf der Party war gut.|B1
der Streichholz, -er|o fósforo|Hast du ein Streichholz?|B1
der Streit (selten Plural)|a briga, a discussão|Wir hatten einen Streit.|B1
der Stress (kein Pl.)|o estresse|Ich habe viel Stress.|A2
die Straße, -n|a rua|Die Straße ist lang.|A1
die Straßenbahn, -en|o bonde|Ich fahre mit der Straßenbahn.|A2
der Strand, -e|a praia|Wir gehen im Sommer an den Strand.|A2
die Stärke, -n|a força, a intensidade|Das ist ihre größte Stärke.|B1
der Stiefel, -|a bota|Ich trage Stiefel im Winter.|B1
der Stift, -e|a caneta, o lápis|Ich brauche einen Stift.|A1
die Stunde, -n|a hora|Der Kurs dauert zwei Stunden.|A1
der Stuhl, -e|a cadeira|Bitte setz dich auf den Stuhl.|A1
der Strumpf, -e|a meia (social);|Ich brauche neue Strümpfe.|B1
die Strumpfhose, -n|a meia-calça|Sie trägt eine Strumpfhose.|B1
der Student, -en / die Studentin, -nen|o estudante / a estudante (universitário);|Ich bin Student.|A1
das Studium (kein Pl.)|o estudo (universitário);|Mein Studium ist sehr interessant.|A1
der Süden (kein Plural)|o sul|Wir fahren in den Süden.|A1
die Suppe, -n|a sopa|Ich esse gern Suppe.|A1
der Supermarkt, -e|o supermercado|Ich gehe zum Supermarkt einkaufen.|A1
süß|doce|Der Kuchen ist sehr süß.|A1
das Symbol, -e|o símbolo|Das Kreuz ist ein Symbol des Christentums.|B1
die Sympathie, -n|a simpatia|Ich habe viel Sympathie für ihn.|A2
der T-Shirt, -s (engl.)|a camiseta|Ich trage ein T-Shirt.|A1
der Tabak, -e|o tabaco|Er raucht Tabak.|B1
die Tabelle, -n|a tabela|Die Tabelle zeigt die Ergebnisse.|B1
die Tablette, -n|o comprimido|Ich nehme eine Tablette gegen Kopfschmerzen.|A2
die Tafel, -n|a lousa, a barra (de chocolate);|Die Lehrerin schreibt an die Tafel.|A1
der Tag, -e|o dia|Heute ist ein schöner Tag.|A1
die Tageszeitung, -en|o jornal diário|Ich lese jeden Morgen die Tageszeitung.|B1
der Tanker, -|o petroleiro|Der Tanker transportiert Öl.|B2
die Tankstelle, -n|o posto de gasolina|Wir müssen zur Tankstelle fahren.|A2
die Tante, -n|a tia|Meine Tante wohnt in Hamburg.|A1
die Tapete, -n|o papel de parede|Die Tapete ist neu.|B1
der Tarif, -e|a tarifa|Der Tarif ist zu hoch.|B1
der Tarifpartner, -|o parceiro tarifário|Die Tarifpartner verhandeln über Löhne.|B2
die Tarifverhandlung, -en|a negociação tarifária|Die Tarifverhandlungen sind schwierig.|B2
der Tarifvertrag, -e|o acordo coletivo|Der Tarifvertrag regelt die Arbeitsbedingungen.|B2
die Tasse, -n|a xícara|Ich trinke Kaffee aus einer Tasse.|A1
die Tasche, -n|a bolsa, a sacola|Ich habe meine Tasche vergessen.|A1
das Taschentuch, -er|o lenço (de papel);|Ich brauche ein Taschentuch.|A2
das Team, -s|a equipe|Unser Team ist sehr gut.|A2
die Technik, -en|a técnica, a tecnologia|Die Technik entwickelt sich schnell.|A2
der Techniker, - / die Technikerin, -nen|o técnico / a técnica|Der Techniker repariert den Computer.|A2
der Tee, -s|o chá|Ich trinke gern Tee.|A1
der Teil, -e|a parte|Das ist ein Teil des Problems.|B1
der Teller, -|o prato|Bitte gib mir einen Teller.|A2
das Temperament, -e|o temperamento|Sie hat ein feuriges Temperament.|B2
die Temperatur, -en|a temperatura|Die Temperatur steigt.|A2
der Teppich, -e|o tapete|Der Teppich ist neu.|A1
der Termin, -e|o compromisso, a data marcada|Ich habe einen Termin beim Arzt.|A1
die Terrasse, -n|o terraço|Wir sitzen gern auf der Terrasse.|A2
der Terror (kein Plural)|o terror|Der Terror ist eine Bedrohung.|B1
der Terrorismus (kein Plural)|o terrorismo|Der Terrorismus ist ein globales Problem.|B1
der Terrorist, -en / die Terroristin, -nen|o terrorista / a terrorista|Der Terrorist wurde gefasst.|B1
der Test, -s|o teste|Ich habe einen Test in Mathe.|A1
der Text, -e|o texto|Lesen Sie den Text.|A1
das Theater, -|o teatro|Wir gehen heute Abend ins Theater.|A1
das Thema, -s|o tema|Das Thema der Diskussion ist interessant.|A1
das Tier, -e|o animal|Ich mag Tiere sehr gern.|A2
der Tipp, -s|a dica|Kannst du mir einen Tipp geben?|A2
der Tisch, -e|a mesa|Wir sitzen am Tisch.|A1
der Toast, -s|a torrada, o pão de forma|Ich esse gern Toast zum Frühstück.|A1
die Tochter, -er|a filha|Meine Tochter ist drei Jahre alt.|A1
die Toilette, -n|o banheiro, o vaso sanitário|Wo ist die Toilette?|A2
die Tomate, -n|o tomate|Ich esse gern Tomaten.|A1
die Torte, -n|o bolo (elaborado), a torta|Die Torte ist sehr lecker.|A2
der Tourist, -en|o turista|Die Stadt ist voller Touristen.|A2
der Trainer, -|o treinador|Unser Trainer ist sehr gut.|B1
das Training, -|o treinamento|Ich gehe jeden Tag zum Training.|A2
der Transport, -e|o transporte|Der Transport dauert lange.|B1
die Treppe, -n|a escada|Bitte gehen Sie die Treppe hinauf.|A2
das Treppenhaus, -er|a escadaria (do prédio);|Das Treppenhaus ist sauber.|A2
die Treue (kein Plural)|a lealdade, a fidelidade|Die Treue ist wichtig in einer Beziehung.|B1
das Trinkgeld, -er|a gorjeta|Geben Sie dem Kellner Trinkgeld.|A2
das Trinkwasser (kein Plural)|a água potável|Wir brauchen sauberes Trinkwasser.|B1
der Turm, -e|a torre|Der Turm ist sehr hoch.|A2
der Typ, -en|o tipo, o cara (coloquial);|Er ist ein netter Typ.|B1
die U-Bahn, -en|o metrô|Ich fahre mit der U-Bahn zur Arbeit.|A1
die Uhr, -en|o relógio, a hora|Wie viel Uhr ist es?|A1
der Unfall, -e|o acidente|Es gab einen Unfall auf der Straße.|A2
die Unterkunft, -e|a acomodação|Wir suchen eine günstige Unterkunft.|B1
der Unterricht (kein Pl.)|a aula, o ensino|Der Unterricht beginnt um 9 Uhr.|A1
die Untersuchung, -en|a investigação, o exame médico|Die Untersuchung war schmerzlos.|B1
der Urlaub, -e|as férias|Ich fahre in den Urlaub.|A2
die Vase, -n|o vaso|Die Blumen stehen in der Vase.|B1
der Vater, -er|o pai|Mein Vater ist sehr lieb.|A1
der Vegetarier, - / die Vegetarierin, -nen|o vegetariano / a vegetariana|Ich bin Vegetarier.|B1
der Verein, -e|o clube, a associação|Ich bin Mitglied in einem Sportverein.|B1
der Vergleich, -e zu D|a comparação com|Der Vergleich zeigt deutliche Unterschiede.|B1
der Verlag, -e|a editora|Der Verlag veröffentlicht Bücher.|B2
der Verkäufer, - / die Verkäuferin, -nen|o vendedor / a vendedora|Der Verkäufer hilft mir.|A1
der Verkehr (fast nie Pl.)|o trânsito|Der Verkehr ist heute sehr stark.|B1
das Verkehrsmittel, -|o meio de transporte|Welches Verkehrsmittel benutzt du?|B1
die Verlängerung, -en|a extensão, a prorrogação|Ich brauche eine Verlängerung meines Visums.|B1
die Verletzung, -en|a lesão|Er hat eine leichte Verletzung.|B1
die Vermietung, -en|o aluguel (ação de alugar para outro);|Die Vermietung der Wohnung ist schwierig.|B1
der Vermieter, - / die Vermieterin, -nen|o locador / a locadora, o proprietário / a proprietária|Der Vermieter ist sehr freundlich.|A2
das Versprechen, -|a promessa|Ich halte mein Versprechen.|B1
die Verspätung, -en|o atraso|Der Zug hat 10 Minuten Verspätung.|B1
die Versorgung, -en|o abastecimento, o fornecimento|Die Wasserversorgung ist wichtig.|B2
die Vorstellung, -en|a apresentação, a ideia|Ich habe eine klare Vorstellung davon.|A2
der Vertrag, -e|o contrato|Ich habe einen neuen Vertrag unterschrieben.|B1
der Vetter, -n|o primo (termo mais antigo, formal);|Mein Vetter kommt aus München.|B2
das Video, -s|o vídeo|Ich schaue gern Videos.|B1
der Videorekorder, -|o videocassete|Ich habe keinen Videorekorder mehr.|B1
viel|muito (quantidade, substantivo de massa)|Ich habe viel Geld.|A1
das Visum, die Visa|o visto|Ich brauche ein Visum für China.|A2
die Visitenkarte, -n|o cartão de visitas|Hier ist meine Visitenkarte.|B1
das Volk, -er|o povo|Das Volk wählt den Präsidenten.|B2
die Vollpension, -en|a pensão completa|Wir haben ein Zimmer mit Vollpension gebucht.|B1
der Vorteil, -e|a vantagem|Das hat viele Vorteile.|A2
der Vortrag, -e|a palestra, a apresentação|Der Vortrag war sehr interessant.|B1
der Vorverkauf, -e|a venda antecipada|Die Karten sind im Vorverkauf erhältlich.|B1
der Vorname, -n|o primeiro nome|Wie ist Ihr Vorname?|A1
der Vorhang, -e|a cortina|Die Vorhänge sind neu.|B1
der Vorrat, -e|o estoque, a provisão|Wir haben einen großen Vorrat an Lebensmitteln.|B1
die Vorwahl, -en|o código de área (telefone);|Was ist die Vorwahl von Berlin?|B1
die Waage, -n|a balança|Ich wiege mich auf der Waage.|B1
der Waggon, -s|o vagão|Der Zug hat viele Waggons.|B1
der Wald, -er|a floresta|Wir gehen gern im Wald spazieren.|A2
die Wanderung, -en|a caminhada|Wir machen eine lange Wanderung.|A2
die Ware, -n|a mercadoria|Die Waren sind von guter Qualität.|B2
das Warenhaus, -er|a loja de departamentos|Wir kaufen im Warenhaus ein.|B2
die Wartezeit, -en|o tempo de espera|Die Wartezeit ist sehr lang.|B2
das Waschbecken, -|a pia (do banheiro);|Das Waschbecken ist sauber.|B1
die Waschmaschine, -n|a máquina de lavar|Die Waschmaschine ist kaputt.|A2
das Wasser (kein Pl.)|a água|Ich trinke gern Wasser.|A1
die Wasserkraft, -e|a energia hidrelétrica|Wasserkraft ist eine erneuerbare Energie.|B1
das WC, -s|o banheiro, o vaso sanitário|Wo ist das WC?|A2
der Wecker, -|o despertador|Mein Wecker klingelt um 6 Uhr.|A2
der Weg, -e|o caminho|Der Weg ist lang.|B1
der Wein, -e|o vinho|Ich trinke gern Wein.|A1
die Weinkarte, -n|a carta de vinhos|Bitte bringen Sie uns die Weinkarte.|B1
der Westen (kein Plural)|o oeste|Die Sonne geht im Westen unter.|A1
das Wetter (kein Pl.)|o tempo (atmosférico);|Das Wetter ist heute schön.|A2
der Wetterbericht, -e|a previsão do tempo|Ich höre den Wetterbericht im Radio.|B1
die Woche, -n|a semana|Eine Woche hat sieben Tage.|A1
das Wochenende, -n|o fim de semana|Am Wochenende schlafe ich lange.|A1
die Wochenzeitung, -en|o jornal semanal|Ich lese jeden Sonntag die Wochenzeitung.|B1
die Wohngemeinschaft, -en|a república (moradia compartilhada);|Ich wohne in einer Wohngemeinschaft.|A2
die Wohnung, -en|o apartamento|Ich suche eine neue Wohnung.|A1
das Wohnzimmer, -|a sala de estar|Das Wohnzimmer ist gemütlich.|A1
die Wolke, -n|a nuvem|Der Himmel ist voller Wolken.|B1
die Wolle (kein Plural)|a lã|Der Pullover ist aus Wolle.|B1
das Wort, -e oder -er|a palavra|Ich lerne neue Wörter.|A1
das Wörterbuch, -er|o dicionário|Ich benutze ein Wörterbuch.|A1
die Wunde, -n|a ferida|Die Wunde heilt langsam.|B1
der Wunsch, -e|o desejo|Ich habe einen Wunsch.|B1
die Wurst, -e|a salsicha, o embutido|Ich esse gern Wurstbrot.|A1
die Zahnbürste, -n|a escova de dentes|Ich brauche eine neue Zahnbürste.|A2
die Zahnpasta, -pasten|a pasta de dentes|Ich habe keine Zahnpasta mehr.|B1
die Zahl, -en|o número|Welche Zahl ist das?|A2
das Zeichen, -|o sinal, o símbolo|Das ist ein gutes Zeichen.|B1
die Zeitschrift, -en|a revista|Ich lese gern Zeitschriften.|B1
die Zeit, -en|o tempo|Ich habe keine Zeit.|A1
die Zeitangabe, -n|a indicação de tempo|Bitte machen Sie eine Zeitangabe.|B2
die Zeitung, -en|o jornal|Ich lese gern Zeitung.|A1
das Zentrum, die Zentren|o centro|Das Zentrum der Stadt ist belebt.|A2
das Zertifikat, -e|o certificado|Ich habe ein Sprachzertifikat erhalten.|B1
der Zettel, -|o bilhete, o pedaço de papel|Schreib es auf einen Zettel!|B1
der Zeuge, -n / die Zeugin, -nen|a testemunha|Der Zeuge sagte die Wahrheit.|B1
das Zeugnis, -se|o boletim, o certificado|Ich habe ein gutes Zeugnis bekommen.|A2
die Zigarette, -n|o cigarro|Ich rauche keine Zigaretten.|A1
der Zigarettenautomat, -en|a máquina de cigarros|Ich kaufe Zigaretten am Automaten.|B1
das Ziel, -e|o objetivo, o alvo|Mein Ziel ist es, Deutsch zu lernen.|B1
der Zins, -en|o juro|Die Zinsen sind niedrig.|B2
die Zitrone, -n|o limão|Ich trinke gern Zitronentee.|A1
der Zoll, -e|a alfândega, o imposto de importação|Wir müssen durch den Zoll.|B2
das Zollamt, -er|a alfândega|Das Zollamt ist am Flughafen.|B2
der Zoo, -s|o zoológico|Wir gehen am Wochenende in den Zoo.|A2
der Zucker (kein Pl.)|o açúcar|Ich trinke Kaffee mit Zucker.|A1
der Zug, -e|o trem|Der Zug fährt nach Berlin.|A2
der Zugbegleiter, -|o condutor (de trem);|Der Zugbegleiter kontrolliert die Fahrkarten.|B2
der Zugführer, - / die Zugführerin, -nen|o maquinista / a maquinista|Der Zugführer fährt den Zug.|B1
der Zufall, -e|a coincidência, o acaso|Das war ein Zufall.|B1
der Zusammenhang, -e|a conexão, o contexto|Der Zusammenhang ist klar.|B2
die Zusammenarbeit (kein Plural)|a colaboração|Gute Zusammenarbeit ist wichtig.|B1
der Zusammenschluss, -e|a união, a fusão|Der Zusammenschluss der Firmen war erfolgreich.|B2
der Zusatzstoff, -e|o aditivo|Dieses Produkt enthält keine Zusatzstoffe.|B2
die Zukunft (kein Plural)|o futuro|Ich mache mir Sorgen um die Zukunft.|B1
die Zulassung, -en|a admissão, a licença|Er hat die Zulassung zum Studium bekommen.|B1
die Zulassungsbeschränkung, -en|a restrição de admissão|Es gibt Zulassungsbeschränkungen für diesen Studiengang.|B2
die Zuzahlung, -en|a coparticipação, o pagamento adicional|Patienten müssen eine Zuzahlung leisten.|B2
der Zweck, -e|a finalidade, o propósito|Was ist der Zweck dieser Aktion?|B2
der Zweig, -e|o ramo, a filial|Der Baum hat viele Zweige.|B1
die Zweitsprache, -n|a segunda língua|Deutsch ist meine Zweitsprache.|B2
die Zweitwohnung, -en|a segunda residência|Er hat eine Zweitwohnung am Meer.|B1
das Abenteuer, -|a aventura|Das Leben ist ein Abenteuer.|B2
der Abfall, -e|o lixo, o resíduo|Bitte trennen Sie den Abfall!|B2
das Abgas, -e|o gás de escape|Abgase verschmutzen die Luft.|B1
der Abbau (kein Plural)|a redução, a extração|Der Abbau von Kohle ist umweltschädlich.|B2
der Abschied, -e|a despedida|Wir nehmen Abschied von ihm.|B1
der Absender, -|o remetente|Der Absender ist unbekannt.|A1
das Abteil, -e|o compartimento (de trem);|Ich habe ein Abteil im Zug reserviert.|B2
die Abteilung, -en|o departamento|Ich arbeite in der Marketingabteilung.|B1
die Adresse, -n|o endereço|Wie ist deine Adresse?|A1
die Agentur, -en|a agência|Ich arbeite bei einer Werbeagentur.|B2
die Agenda, Agenden|a agenda|Die Agenda der Besprechung ist lang.|B2
der Alkohol (kein Pl.)|o álcool|Alkohol ist in Maßen gesund.|B1
der Alltag (kein Plural)|o dia a dia|Mein Alltag ist sehr stressig.|A2
das Altersheim, -e|o asilo, casa de repouso|Meine Großmutter lebt im Altersheim.|A2
die Altersangabe, -n|a indicação de idade|Bitte machen Sie eine Altersangabe.|B1
das Alphabet, -e|o alfabeto|Das deutsche Alphabet hat 26 Buchstaben.|A1
die Alphabetisierung, -en|a alfabetização|Die Alphabetisierung ist wichtig für die Entwicklung.|B2
der Analphabet, -en|o analfabeto|Es gibt viele Analphabeten in armen Ländern.|B2
der Analphabetismus (kein Plural)|o analfabetismo|Der Analphabetismus ist ein großes Problem.|B2
die Anforderung, -en|a exigência, o requisito|Diese Arbeit stellt hohe Anforderungen.|B1
der Anhang, -e|o anexo|Ich habe den Anhang der E-Mail gelesen.|B1
die Ankunft, -e|a chegada|Die Ankunft des Zuges ist um 14 Uhr.|B1
die Anlage, -n|a instalação, o anexo|Die Anlage ist sehr modern.|B1
die Anmeldung, -en|a inscrição, o registro|Die Anmeldung für den Kurs ist geschlossen.|A2
der Anschluss, -e|a conexão, o anexo|Ich habe einen Anschlussflug nach Berlin.|B2
der Anschlag, -e|o ataque, o cartaz|Es gab einen Anschlag in der Stadt.|B2
die Ansicht, -en|a opinião, o ponto de vista|Meine Ansicht dazu ist anders.|B1
die Anzeige, -n|o anúncio|Ich habe eine Anzeige in der Zeitung gelesen.|A2
der Anrufbeantworter, -|a secretária eletrônica|Ich habe eine Nachricht auf dem Anrufbeantworter hinterlassen.|A2
der Anspruch, -e|o direito, a reivindicação|Ich habe keinen Anspruch darauf.|B2
der Anzug, -e|o terno|Er trägt einen Anzug.|A2
das Appartement, -s|o apartamento (pequeno);|Ich miete ein kleines Appartement.|A2
die Aprikose, -n|o damasco|Ich esse gern Aprikosen.|B1
die Armee, -n|o exército|Die Armee schützt das Land.|B1
das Arzneimittel, -|o medicamento|Dieses Arzneimittel hilft gegen Schmerzen.|B2
der Artikel, -|o artigo|Ich habe einen interessanten Artikel gelesen.|A2
die Art, -en|o tipo, a maneira|Das ist eine neue Art zu leben.|B1
der Aschenbecher, -|o cinzeiro|Bitte benutz den Aschenbecher.|B1
der Aspekt, -e|o aspecto|Wir müssen alle Aspekte berücksichtigen.|B2
das Asyl, -e|o asilo|Er hat Asyl in Deutschland beantragt.|B1
der Ast, -e|o galho|Der Ast ist vom Baum gefallen.|B1
der Atem (kein Plural)|a respiração|Er hält den Atem an.|B1
