traducao|verbo|exemplo|nivel
a qualidade|die Qualität, -en|Die Qualität ist sehr gut.|B2
o requeijão (tipo alemão);|der Quark (kein Pl.)|Ich esse Quark mit Früchten.|B1
a fonte|die Quelle, -n|Das ist eine wichtige Quelle.|B1
a mochila|der Rucksack, -e|Ich packe meinen Rucksack.|A2
a borracha|der Radiergummi, -s|Ich brauche einen Radiergummi.|A1
o rádio|das Radio, -s|Ich höre gern Radio.|A1
a roda, a bicicleta|das Rad, -er|Das Rad ist kaputt.|A1
o conselho|der Rat, die Ratschläge|Kannst du mir einen Rat geben?|B1
a prefeitura|das Rathaus, -er|Das Rathaus ist im Stadtzentrum.|A2
a fumaça|der Rauch (fast nie Pl.)|Der Rauch stört mich.|B1
a proibição de fumar|das Rauchverbot, -e|Es gibt ein Rauchverbot in Restaurants.|B1
a embriaguez, o delírio|der Rausch, -e|Er ist im Rausch der Geschwindigkeit.|B1
a droga (ilegal)|das Rauschgift, -e|Rauschgift ist gefährlich.|B1
a escola secundária (tipo específico na Alemanha)|die Realschule, -n|Sie geht auf die Realschule.|A2
a prateleira|das Regal, -e|Das Buch steht im Regal.|A1
a regra|die Regel, -n|Bitte halten Sie die Regeln ein.|A2
a conta|die Rechnung, -en|Bitte bringen Sie mir die Rechnung.|A1
a região|die Region, -en|Die Region ist sehr schön.|B1
a religião|die Religion, -en|Welche Religion haben Sie?|B1
o reparo|die Reparatur, -en|Die Reparatur ist teuer.|B1
o relatório|der Report, -e|Ich muss einen Report schreiben.|B1
a receita (culinária ou médica)|das Rezept, -e|Ich habe ein neues Rezept ausprobiert.|A2
a recepção|die Rezeption, -en|Bitte fragen Sie an der Rezeption.|A2
a revolução|die Revolution, -en|Die Revolution hat das Land verändert.|B1
a direção|die Richtung, -en|In welche Richtung müssen wir gehen?|B1
o risco|das Risiko, Risiken|Das Risiko ist hoch.|B1
o resultado|das Resultat, -e|Das Resultat der Prüfung war gut.|B1
o restaurante|das Restaurant, -s|Wir gehen heute Abend ins Restaurant.|A1
o resgate, a salvação|die Rettung, -en|Die Rettung kam schnell.|B1
o juiz / a juíza|der Richter, - / die Richterin, -nen|Der Richter spricht das Urteil.|B1
o gado, a carne bovina|das Rind, -er|Ich esse gern Rindfleisch.|B1
o vinho tinto|der Rotwein, -e|Ich trinke gern Rotwein.|A1
as costas|der Rücken, -|Mir tut der Rücken weh.|A2
o remo, o leme|das Ruder, -|Er sitzt am Ruder des Bootes.|B1
a calma, o sossego|die Ruhe (kein Plural)|Ich brauche Ruhe.|A2
o passeio, a excursão (circular);|die Rundfahrt, -en|Wir machen eine Rundfahrt durch die Stadt.|A2
o suco|der Saft, -e|Ich trinke gern Apfelsaft.|A1
a coisa, o assunto|die Sache, -n|Das ist eine gute Sache.|A2
o creme de leite|die Sahne (kein Pl.)|Möchtest du Sahne zum Kuchen?|A2
a salada|der Salat, -e|Ich esse gern Salat.|A1
o sal|das Salz, -e|Das Essen braucht mehr Salz.|A2
o cantor / a cantora|der Sänger, - / die Sängerin, -nen|Die Sängerin hat eine schöne Stimme.|A2
a frase|der Satz, -e|Bitte bilden Sie einen Satz.|A1
o interruptor, o balcão|der Schalter, -|Der Schalter ist hier.|B1
a sombra|der Schatten, -|Es ist kühl im Schatten.|B1
a vitrine|das Schaufenster, -|Ich schaue gern Schaufenster an.|B1
a ovelha|das Schaf, -e|Das Schaf frisst Gras.|B1
a caixa, a embalagem|die Schachtel, -n|Ich habe eine Schachtel Pralinen gekauft.|B1
o presunto|der Schinken, -|Ich esse gern Schinkenbrot.|A1
o navio|das Schiff, -e|Das Schiff fährt aufs Meer.|A2
a placa, o escudo|das Schild, -er|Bitte beachten Sie das Schild!|A2
|Certo! Aqui está o terceiro grupo de 20 substantivos do nível A2.||
o sono|der Schlaf (kein Pl.)|Ich brauche mehr Schlaf.|A2
o quarto de dormir|das Schlafzimmer, -|Das Schlafzimmer ist sehr gemütlich.|A2
magro/a|schlank|Sie ist sehr schlank.|A2
o golpe, a batida|der Schlag, -e|Er hat einen Schlag auf den Kopf bekommen.|A2
o chocolate|die Schokolade, -n|Ich esse gern Schokolade.|A1
a escola|die Schule, -n|Meine Kinder gehen in die Schule.|A1
o aluno / a aluna|der Schüler, - / die Schülerin, -nen|Die Schüler lernen Deutsch.|A1
a disciplina escolar|das Schulfach, -er|Mein Lieblingsschulfach ist Geschichte.|A2
a chave|der Schlüssel, -|Wo ist mein Schlüssel?|A2
a joia, o adorno|das Schmuck (fast nie Plural)|Sie trägt schönen Schmuck.|B1
a aguardente, o conhaque|der Schnaps, -e|Ich trinke keinen Schnaps.|B1
o resfriado|der Schnupfen, -|Ich habe Schnupfen.|A2
bonito/a|schön|Das ist ein schönes Bild.|A1
a beleza|die Schönheit, -en|Die Schönheit der Natur ist beeindruckend.|A2
o armário|der Schrank, -e|Der Schrank ist voll.|A2
a escrivaninha|der Schreibtisch, -e|Ich arbeite an meinem Schreibtisch.|A2
o carpinteiro / a carpinteira|der Schreiner, - / die Schreinerin, -nen|Der Schreiner baut Möbel.|B1
o passo|der Schritt, -e|Bitte gehen Sie einen Schritt zurück.|A2
o sapato|der Schuh, -e|Ich brauche neue Schuhe.|A2
a culpa, a dívida|die Schuld, -en|Es ist nicht meine Schuld.|B1
a proteção|der Schutz (kein Plural)|Der Schutz der Umwelt ist wichtig.|B1
a Suíça|die Schweiz|Die Schweiz ist ein schönes Land.|A2
o porco|das Schwein, -e|Das Schwein lebt auf dem Bauernhof.|A2
a irmã|die Schwester, -n|Meine Schwester ist jünger als ich.|A1
o lago|der See, -n|Wir schwimmen im See.|A2
o mar (específico para água, navegação);|die See (kein Pl.)|Wir fahren auf See.|B1
a alma|die Seele, -n|Er hat eine gute Seele.|B1
o ponto turístico|die Sehenswürdigkeit, -en|Berlin hat viele Sehenswürdigkeiten.|B1
o sabonete|die Seife, -n|Ich wasche meine Hände mit Seife.|B1
a seda|die Seide, -n|Das Kleid ist aus Seide.|B1
o autoatendimento|die Selbstbedienung, -en|Das Restaurant hat Selbstbedienung.|B1
a poltrona|der Sessel, -|Ich sitze gern im Sessel.|A1
o sexo|der Sex (kein Plural)|Sex ist ein wichtiger Teil des Lebens.|B1
a sexualidade|die Sexualität (fast nie Pl.)|Sie spricht offen über ihre Sexualität.|B1
a segurança|die Sicherheit, -en|Die Sicherheit der Daten ist wichtig.|B1
a vitória|der Sieg, -e|Unsere Mannschaft hat den Sieg errungen.|B1
o vencedor|der Sieger, -|Er ist der Sieger des Rennens.|B1
a prata|das Silber (kein Plural)|Der Ring ist aus Silber.|A2
a sílaba|die Silbe, -n|Dieses Wort hat drei Silben.|B1
o solteiro|der Single, -s|Er ist ein Single.|A2
o lanche|der Snack, -s|Ich brauche einen Snack für zwischendurch.|B1
o filho|der Sohn, -e|Ihr Sohn ist sehr groß.|A1
a meia|die Socke, -n|Ich habe neue Socken gekauft.|B1
o sofá|das Sofa, -s|Ich sitze gern auf dem Sofa.|A1
o soldado|der Soldat, -en|Der Soldat kämpft für sein Land.|A2
a energia solar|die Sonnenenergie, -n|Sonnenenergie ist umweltfreundlich.|B1
o coletor solar|der Sonnenkollektor, -en|Der Sonnenkollektor erzeugt warmes Wasser.|B1
a luz solar|das Sonnenlicht (kein Plural)|Sonnenlicht ist gut für die Gesundheit.|B1
o molho|der Soße, -n|Die Soße schmeckt sehr gut.|B1
a sociologia, estudos sociais|die Sozialkunde, -n|Sozialkunde ist ein interessantes Fach.|A2
a caixa econômica|die Sparkasse, -n|Ich habe ein Konto bei der Sparkasse.|A2
o toucinho, o bacon|der Speck (fast nie Pl.)|Ich esse gern Speck zum Frühstück.|B1
a sala de jantar, o refeitório|der Speisesaal, -e|Wir essen im Speisesaal zu Abend.|B1
a especialidade|die Spezialität, -en|Die Spezialität des Hauses ist Pizza.|B1
o especialista / a especialista|der Spezialist, -en / die Spezialistin, -nen|Er ist ein Spezialist für Computer.|A2
a ponta, o auge|die Spitze, -n|Er steht an der Spitze der Liste.|B1
a língua, o idioma|die Sprache, -n|Ich lerne Deutsch, eine neue Sprache.|A2
o curso de idiomas|der Sprachkurs, -e|Ich besuche einen Sprachkurs.|A2
o orador / a oradora, o locutor / a locutora|der Sprecher, - / die Sprecherin, -nen|Der Sprecher hat eine klare Stimme.|A2
o horário de atendimento (médico, professor);|die Sprechstunde, -n|Die Ärztin hat Sprechstunde von 9 bis 12 Uhr.|B1
a injeção, a seringa|die Spritze, -n|Der Arzt gibt mir eine Spritze.|B1
o provérbio|das Sprichwort, -er|Ein altes Sprichwort sagt: "Wer zuerst kommt, mahlt zuerst."|B1
o esporte|der Sport (kein Pl.)|Ich mache gern Sport.|A1
a quadra esportiva, o campo de esportes|der Sportplatz, -e|Die Kinder spielen auf dem Sportplatz.|A2
o evento esportivo|die Sportveranstaltung, -en|Die Sportveranstaltung war sehr gut besucht.|A2
o estado|der Staat, -en|Der Staat schützt seine Bürger.|B1
o padrão|der Standard, -s|Das ist ein hoher Standard.|A2
a cidade|die Stadt, -e|Ich wohne in einer großen Stadt.|A1
o mapa da cidade|der Stadtplan, -e|Ich brauche einen Stadtplan.|A1
o bairro|der Stadtteil, -e|Ich wohne in einem schönen Stadtteil.|B1
o estádio|das Stadion, -s|Das Stadion war voll.|A2
o estábulo|der Stall, -e|Die Pferde leben im Stall.|B1
a estrela (artista);|der Star, -s|Der Star singt auf der Bühne.|B1
o engarrafamento|der Stau, -s|Es gibt einen langen Stau auf der Autobahn.|A2
o aspirador de pó|der Staubsauger, -|Ich brauche einen neuen Staubsauger.|A2
a tomada|die Steckdose, -n|Wo ist die Steckdose?|A2
o plugue, o conector|der Stecker, -|Der Stecker passt nicht in die Steckdose.|B1
o lugar, a vaga (de emprego);|die Stelle, -n|Ich habe eine neue Stelle gefunden.|A2
o anúncio de vaga|die Stellenanzeige, -n|Ich lese Stellenanzeigen in der Zeitung.|A2
a estrela|der Stern, -e|Die Sterne leuchten am Himmel.|A2
o comissário de bordo / a comissária de bordo|der Steward, -s / die Stewardess, -en|Der Steward serviert Getränke.|A2
a caneta, o lápis|der Stift, -e|Ich brauche einen Stift.|A1
o estilo|der Stil, -e|Ich mag ihren Stil.|B1
o humor, o clima (de um ambiente);|die Stimmung, -en|Die Stimmung auf der Party war gut.|B1
o fósforo|der Streichholz, -er|Hast du ein Streichholz?|B1
a briga, a discussão|der Streit (selten Plural)|Wir hatten einen Streit.|B1
o estresse|der Stress (kein Pl.)|Ich habe viel Stress.|A2
a rua|die Straße, -n|Die Straße ist lang.|A1
o bonde|die Straßenbahn, -en|Ich fahre mit der Straßenbahn.|A2
a praia|der Strand, -e|Wir gehen im Sommer an den Strand.|A2
a força, a intensidade|die Stärke, -n|Das ist ihre größte Stärke.|B1
a bota|der Stiefel, -|Ich trage Stiefel im Winter.|B1
a caneta, o lápis|der Stift, -e|Ich brauche einen Stift.|A1
a hora|die Stunde, -n|Der Kurs dauert zwei Stunden.|A1
a cadeira|der Stuhl, -e|Bitte setz dich auf den Stuhl.|A1
a meia (social);|der Strumpf, -e|Ich brauche neue Strümpfe.|B1
a meia-calça|die Strumpfhose, -n|Sie trägt eine Strumpfhose.|B1
o estudante / a estudante (universitário);|der Student, -en / die Studentin, -nen|Ich bin Student.|A1
o estudo (universitário);|das Studium (kein Pl.)|Mein Studium ist sehr interessant.|A1
o sul|der Süden (kein Plural)|Wir fahren in den Süden.|A1
a sopa|die Suppe, -n|Ich esse gern Suppe.|A1
o supermercado|der Supermarkt, -e|Ich gehe zum Supermarkt einkaufen.|A1
doce|süß|Der Kuchen ist sehr süß.|A1
o símbolo|das Symbol, -e|Das Kreuz ist ein Symbol des Christentums.|B1
a simpatia|die Sympathie, -n|Ich habe viel Sympathie für ihn.|A2
a camiseta|der T-Shirt, -s (engl.)|Ich trage ein T-Shirt.|A1
o tabaco|der Tabak, -e|Er raucht Tabak.|B1
a tabela|die Tabelle, -n|Die Tabelle zeigt die Ergebnisse.|B1
o comprimido|die Tablette, -n|Ich nehme eine Tablette gegen Kopfschmerzen.|A2
a lousa, a barra (de chocolate);|die Tafel, -n|Die Lehrerin schreibt an die Tafel.|A1
o dia|der Tag, -e|Heute ist ein schöner Tag.|A1
o jornal diário|die Tageszeitung, -en|Ich lese jeden Morgen die Tageszeitung.|B1
o petroleiro|der Tanker, -|Der Tanker transportiert Öl.|B2
o posto de gasolina|die Tankstelle, -n|Wir müssen zur Tankstelle fahren.|A2
a tia|die Tante, -n|Meine Tante wohnt in Hamburg.|A1
o papel de parede|die Tapete, -n|Die Tapete ist neu.|B1
a tarifa|der Tarif, -e|Der Tarif ist zu hoch.|B1
o parceiro tarifário|der Tarifpartner, -|Die Tarifpartner verhandeln über Löhne.|B2
a negociação tarifária|die Tarifverhandlung, -en|Die Tarifverhandlungen sind schwierig.|B2
o acordo coletivo|der Tarifvertrag, -e|Der Tarifvertrag regelt die Arbeitsbedingungen.|B2
a xícara|die Tasse, -n|Ich trinke Kaffee aus einer Tasse.|A1
a bolsa, a sacola|die Tasche, -n|Ich habe meine Tasche vergessen.|A1
o lenço (de papel);|das Taschentuch, -er|Ich brauche ein Taschentuch.|A2
a equipe|das Team, -s|Unser Team ist sehr gut.|A2
a técnica, a tecnologia|die Technik, -en|Die Technik entwickelt sich schnell.|A2
o técnico / a técnica|der Techniker, - / die Technikerin, -nen|Der Techniker repariert den Computer.|A2
o chá|der Tee, -s|Ich trinke gern Tee.|A1
a parte|der Teil, -e|Das ist ein Teil des Problems.|B1
o prato|der Teller, -|Bitte gib mir einen Teller.|A2
o temperamento|das Temperament, -e|Sie hat ein feuriges Temperament.|B2
a temperatura|die Temperatur, -en|Die Temperatur steigt.|A2
o tapete|der Teppich, -e|Der Teppich ist neu.|A1
o compromisso, a data marcada|der Termin, -e|Ich habe einen Termin beim Arzt.|A1
o terraço|die Terrasse, -n|Wir sitzen gern auf der Terrasse.|A2
o terror|der Terror (kein Plural)|Der Terror ist eine Bedrohung.|B1
o terrorismo|der Terrorismus (kein Plural)|Der Terrorismus ist ein globales Problem.|B1
o terrorista / a terrorista|der Terrorist, -en / die Terroristin, -nen|Der Terrorist wurde gefasst.|B1
o teste|der Test, -s|Ich habe einen Test in Mathe.|A1
o texto|der Text, -e|Lesen Sie den Text.|A1
o teatro|das Theater, -|Wir gehen heute Abend ins Theater.|A1
o tema|das Thema, -s|Das Thema der Diskussion ist interessant.|A1
o animal|das Tier, -e|Ich mag Tiere sehr gern.|A2
a dica|der Tipp, -s|Kannst du mir einen Tipp geben?|A2
a mesa|der Tisch, -e|Wir sitzen am Tisch.|A1
a torrada, o pão de forma|der Toast, -s|Ich esse gern Toast zum Frühstück.|A1
a filha|die Tochter, -er|Meine Tochter ist drei Jahre alt.|A1
o banheiro, o vaso sanitário|die Toilette, -n|Wo ist die Toilette?|A2
o tomate|die Tomate, -n|Ich esse gern Tomaten.|A1
o bolo (elaborado), a torta|die Torte, -n|Die Torte ist sehr lecker.|A2
o turista|der Tourist, -en|Die Stadt ist voller Touristen.|A2
o treinador|der Trainer, -|Unser Trainer ist sehr gut.|B1
o treinamento|das Training, -|Ich gehe jeden Tag zum Training.|A2
o transporte|der Transport, -e|Der Transport dauert lange.|B1
a escada|die Treppe, -n|Bitte gehen Sie die Treppe hinauf.|A2
a escadaria (do prédio);|das Treppenhaus, -er|Das Treppenhaus ist sauber.|A2
a lealdade, a fidelidade|die Treue (kein Plural)|Die Treue ist wichtig in einer Beziehung.|B1
a gorjeta|das Trinkgeld, -er|Geben Sie dem Kellner Trinkgeld.|A2
a água potável|das Trinkwasser (kein Plural)|Wir brauchen sauberes Trinkwasser.|B1
a torre|der Turm, -e|Der Turm ist sehr hoch.|A2
o tipo, o cara (coloquial);|der Typ, -en|Er ist ein netter Typ.|B1
o metrô|die U-Bahn, -en|Ich fahre mit der U-Bahn zur Arbeit.|A1
o relógio, a hora|die Uhr, -en|Wie viel Uhr ist es?|A1
o acidente|der Unfall, -e|Es gab einen Unfall auf der Straße.|A2
a acomodação|die Unterkunft, -e|Wir suchen eine günstige Unterkunft.|B1
a aula, o ensino|der Unterricht (kein Pl.)|Der Unterricht beginnt um 9 Uhr.|A1
a investigação, o exame médico|die Untersuchung, -en|Die Untersuchung war schmerzlos.|B1
as férias|der Urlaub, -e|Ich fahre in den Urlaub.|A2
o vaso|die Vase, -n|Die Blumen stehen in der Vase.|B1
o pai|der Vater, -er|Mein Vater ist sehr lieb.|A1
o vegetariano / a vegetariana|der Vegetarier, - / die Vegetarierin, -nen|Ich bin Vegetarier.|B1
o clube, a associação|der Verein, -e|Ich bin Mitglied in einem Sportverein.|B1
a comparação com|der Vergleich, -e zu D|Der Vergleich zeigt deutliche Unterschiede.|B1
a editora|der Verlag, -e|Der Verlag veröffentlicht Bücher.|B2
o vendedor / a vendedora|der Verkäufer, - / die Verkäuferin, -nen|Der Verkäufer hilft mir.|A1
o trânsito|der Verkehr (fast nie Pl.)|Der Verkehr ist heute sehr stark.|B1
o meio de transporte|das Verkehrsmittel, -|Welches Verkehrsmittel benutzt du?|B1
a extensão, a prorrogação|die Verlängerung, -en|Ich brauche eine Verlängerung meines Visums.|B1
a lesão|die Verletzung, -en|Er hat eine leichte Verletzung.|B1
o aluguel (ação de alugar para outro);|die Vermietung, -en|Die Vermietung der Wohnung ist schwierig.|B1
o locador / a locadora, o proprietário / a proprietária|der Vermieter, - / die Vermieterin, -nen|Der Vermieter ist sehr freundlich.|A2
a promessa|das Versprechen, -|Ich halte mein Versprechen.|B1
o atraso|die Verspätung, -en|Der Zug hat 10 Minuten Verspätung.|B1
o abastecimento, o fornecimento|die Versorgung, -en|Die Wasserversorgung ist wichtig.|B2
a apresentação, a ideia|die Vorstellung, -en|Ich habe eine klare Vorstellung davon.|A2
o contrato|der Vertrag, -e|Ich habe einen neuen Vertrag unterschrieben.|B1
o primo (termo mais antigo, formal);|der Vetter, -n|Mein Vetter kommt aus München.|B2
o vídeo|das Video, -s|Ich schaue gern Videos.|B1
o videocassete|der Videorekorder, -|Ich habe keinen Videorekorder mehr.|B1
muito (quantidade, substantivo de massa)|viel|Ich habe viel Geld.|A1
o visto|das Visum, die Visa|Ich brauche ein Visum für China.|A2
o cartão de visitas|die Visitenkarte, -n|Hier ist meine Visitenkarte.|B1
o povo|das Volk, -er|Das Volk wählt den Präsidenten.|B2
a pensão completa|die Vollpension, -en|Wir haben ein Zimmer mit Vollpension gebucht.|B1
a vantagem|der Vorteil, -e|Das hat viele Vorteile.|A2
a palestra, a apresentação|der Vortrag, -e|Der Vortrag war sehr interessant.|B1
a venda antecipada|der Vorverkauf, -e|Die Karten sind im Vorverkauf erhältlich.|B1
o primeiro nome|der Vorname, -n|Wie ist Ihr Vorname?|A1
a cortina|der Vorhang, -e|Die Vorhänge sind neu.|B1
o estoque, a provisão|der Vorrat, -e|Wir haben einen großen Vorrat an Lebensmitteln.|B1
o código de área (telefone);|die Vorwahl, -en|Was ist die Vorwahl von Berlin?|B1
a balança|die Waage, -n|Ich wiege mich auf der Waage.|B1
o vagão|der Waggon, -s|Der Zug hat viele Waggons.|B1
a floresta|der Wald, -er|Wir gehen gern im Wald spazieren.|A2
a caminhada|die Wanderung, -en|Wir machen eine lange Wanderung.|A2
a mercadoria|die Ware, -n|Die Waren sind von guter Qualität.|B2
a loja de departamentos|das Warenhaus, -er|Wir kaufen im Warenhaus ein.|B2
o tempo de espera|die Wartezeit, -en|Die Wartezeit ist sehr lang.|B2
a pia (do banheiro);|das Waschbecken, -|Das Waschbecken ist sauber.|B1
a máquina de lavar|die Waschmaschine, -n|Die Waschmaschine ist kaputt.|A2
a água|das Wasser (kein Pl.)|Ich trinke gern Wasser.|A1
a energia hidrelétrica|die Wasserkraft, -e|Wasserkraft ist eine erneuerbare Energie.|B1
o banheiro, o vaso sanitário|das WC, -s|Wo ist das WC?|A2
o despertador|der Wecker, -|Mein Wecker klingelt um 6 Uhr.|A2
o caminho|der Weg, -e|Der Weg ist lang.|B1
o vinho|der Wein, -e|Ich trinke gern Wein.|A1
a carta de vinhos|die Weinkarte, -n|Bitte bringen Sie uns die Weinkarte.|B1
o oeste|der Westen (kein Plural)|Die Sonne geht im Westen unter.|A1
o tempo (atmosférico);|das Wetter (kein Pl.)|Das Wetter ist heute schön.|A2
a previsão do tempo|der Wetterbericht, -e|Ich höre den Wetterbericht im Radio.|B1
a semana|die Woche, -n|Eine Woche hat sieben Tage.|A1
o fim de semana|das Wochenende, -n|Am Wochenende schlafe ich lange.|A1
o jornal semanal|die Wochenzeitung, -en|Ich lese jeden Sonntag die Wochenzeitung.|B1
a república (moradia compartilhada);|die Wohngemeinschaft, -en|Ich wohne in einer Wohngemeinschaft.|A2
o apartamento|die Wohnung, -en|Ich suche eine neue Wohnung.|A1
a sala de estar|das Wohnzimmer, -|Das Wohnzimmer ist gemütlich.|A1
a nuvem|die Wolke, -n|Der Himmel ist voller Wolken.|B1
a lã|die Wolle (kein Plural)|Der Pullover ist aus Wolle.|B1
a palavra|das Wort, -e oder -er|Ich lerne neue Wörter.|A1
o dicionário|das Wörterbuch, -er|Ich benutze ein Wörterbuch.|A1
a ferida|die Wunde, -n|Die Wunde heilt langsam.|B1
o desejo|der Wunsch, -e|Ich habe einen Wunsch.|B1
a salsicha, o embutido|die Wurst, -e|Ich esse gern Wurstbrot.|A1
a escova de dentes|die Zahnbürste, -n|Ich brauche eine neue Zahnbürste.|A2
a pasta de dentes|die Zahnpasta, -pasten|Ich habe keine Zahnpasta mehr.|B1
o número|die Zahl, -en|Welche Zahl ist das?|A2
o sinal, o símbolo|das Zeichen, -|Das ist ein gutes Zeichen.|B1
a revista|die Zeitschrift, -en|Ich lese gern Zeitschriften.|B1
o tempo|die Zeit, -en|Ich habe keine Zeit.|A1
a indicação de tempo|die Zeitangabe, -n|Bitte machen Sie eine Zeitangabe.|B2
o jornal|die Zeitung, -en|Ich lese gern Zeitung.|A1
o centro|das Zentrum, die Zentren|Das Zentrum der Stadt ist belebt.|A2
o certificado|das Zertifikat, -e|Ich habe ein Sprachzertifikat erhalten.|B1
o bilhete, o pedaço de papel|der Zettel, -|Schreib es auf einen Zettel!|B1
a testemunha|der Zeuge, -n / die Zeugin, -nen|Der Zeuge sagte die Wahrheit.|B1
o boletim, o certificado|das Zeugnis, -se|Ich habe ein gutes Zeugnis bekommen.|A2
o cigarro|die Zigarette, -n|Ich rauche keine Zigaretten.|A1
a máquina de cigarros|der Zigarettenautomat, -en|Ich kaufe Zigaretten am Automaten.|B1
o objetivo, o alvo|das Ziel, -e|Mein Ziel ist es, Deutsch zu lernen.|B1
o juro|der Zins, -en|Die Zinsen sind niedrig.|B2
o limão|die Zitrone, -n|Ich trinke gern Zitronentee.|A1
a alfândega, o imposto de importação|der Zoll, -e|Wir müssen durch den Zoll.|B2
a alfândega|das Zollamt, -er|Das Zollamt ist am Flughafen.|B2
o zoológico|der Zoo, -s|Wir gehen am Wochenende in den Zoo.|A2
o açúcar|der Zucker (kein Pl.)|Ich trinke Kaffee mit Zucker.|A1
o trem|der Zug, -e|Der Zug fährt nach Berlin.|A2
o condutor (de trem);|der Zugbegleiter, -|Der Zugbegleiter kontrolliert die Fahrkarten.|B2
o maquinista / a maquinista|der Zugführer, - / die Zugführerin, -nen|Der Zugführer fährt den Zug.|B1
a coincidência, o acaso|der Zufall, -e|Das war ein Zufall.|B1
a conexão, o contexto|der Zusammenhang, -e|Der Zusammenhang ist klar.|B2
a colaboração|die Zusammenarbeit (kein Plural)|Gute Zusammenarbeit ist wichtig.|B1
a união, a fusão|der Zusammenschluss, -e|Der Zusammenschluss der Firmen war erfolgreich.|B2
o aditivo|der Zusatzstoff, -e|Dieses Produkt enthält keine Zusatzstoffe.|B2
o futuro|die Zukunft (kein Plural)|Ich mache mir Sorgen um die Zukunft.|B1
a admissão, a licença|die Zulassung, -en|Er hat die Zulassung zum Studium bekommen.|B1
a restrição de admissão|die Zulassungsbeschränkung, -en|Es gibt Zulassungsbeschränkungen für diesen Studiengang.|B2
a coparticipação, o pagamento adicional|die Zuzahlung, -en|Patienten müssen eine Zuzahlung leisten.|B2
a finalidade, o propósito|der Zweck, -e|Was ist der Zweck dieser Aktion?|B2
o ramo, a filial|der Zweig, -e|Der Baum hat viele Zweige.|B1
a segunda língua|die Zweitsprache, -n|Deutsch ist meine Zweitsprache.|B2
a segunda residência|die Zweitwohnung, -en|Er hat eine Zweitwohnung am Meer.|B1
a aventura|das Abenteuer, -|Das Leben ist ein Abenteuer.|B2
o lixo, o resíduo|der Abfall, -e|Bitte trennen Sie den Abfall!|B2
o gás de escape|das Abgas, -e|Abgase verschmutzen die Luft.|B1
a redução, a extração|der Abbau (kein Plural)|Der Abbau von Kohle ist umweltschädlich.|B2
a despedida|der Abschied, -e|Wir nehmen Abschied von ihm.|B1
o remetente|der Absender, -|Der Absender ist unbekannt.|A1
o compartimento (de trem);|das Abteil, -e|Ich habe ein Abteil im Zug reserviert.|B2
o departamento|die Abteilung, -en|Ich arbeite in der Marketingabteilung.|B1
o endereço|die Adresse, -n|Wie ist deine Adresse?|A1
a agência|die Agentur, -en|Ich arbeite bei einer Werbeagentur.|B2
a agenda|die Agenda, Agenden|Die Agenda der Besprechung ist lang.|B2
o álcool|der Alkohol (kein Pl.)|Alkohol ist in Maßen gesund.|B1
o dia a dia|der Alltag (kein Plural)|Mein Alltag ist sehr stressig.|A2
o asilo, casa de repouso|das Altersheim, -e|Meine Großmutter lebt im Altersheim.|A2
a indicação de idade|die Altersangabe, -n|Bitte machen Sie eine Altersangabe.|B1
o alfabeto|das Alphabet, -e|Das deutsche Alphabet hat 26 Buchstaben.|A1
a alfabetização|die Alphabetisierung, -en|Die Alphabetisierung ist wichtig für die Entwicklung.|B2
o analfabeto|der Analphabet, -en|Es gibt viele Analphabeten in armen Ländern.|B2
o analfabetismo|der Analphabetismus (kein Plural)|Der Analphabetismus ist ein großes Problem.|B2
a exigência, o requisito|die Anforderung, -en|Diese Arbeit stellt hohe Anforderungen.|B1
o anexo|der Anhang, -e|Ich habe den Anhang der E-Mail gelesen.|B1
a chegada|die Ankunft, -e|Die Ankunft des Zuges ist um 14 Uhr.|B1
a instalação, o anexo|die Anlage, -n|Die Anlage ist sehr modern.|B1
a inscrição, o registro|die Anmeldung, -en|Die Anmeldung für den Kurs ist geschlossen.|A2
a conexão, o anexo|der Anschluss, -e|Ich habe einen Anschlussflug nach Berlin.|B2
o ataque, o cartaz|der Anschlag, -e|Es gab einen Anschlag in der Stadt.|B2
a opinião, o ponto de vista|die Ansicht, -en|Meine Ansicht dazu ist anders.|B1
o anúncio|die Anzeige, -n|Ich habe eine Anzeige in der Zeitung gelesen.|A2
a secretária eletrônica|der Anrufbeantworter, -|Ich habe eine Nachricht auf dem Anrufbeantworter hinterlassen.|A2
o direito, a reivindicação|der Anspruch, -e|Ich habe keinen Anspruch darauf.|B2
o terno|der Anzug, -e|Er trägt einen Anzug.|A2
o apartamento (pequeno);|das Appartement, -s|Ich miete ein kleines Appartement.|A2
o damasco|die Aprikose, -n|Ich esse gern Aprikosen.|B1
o exército|die Armee, -n|Die Armee schützt das Land.|B1
o medicamento|das Arzneimittel, -|Dieses Arzneimittel hilft gegen Schmerzen.|B2
o artigo|der Artikel, -|Ich habe einen interessanten Artikel gelesen.|A2
o tipo, a maneira|die Art, -en|Das ist eine neue Art zu leben.|B1
o cinzeiro|der Aschenbecher, -|Bitte benutz den Aschenbecher.|B1
o aspecto|der Aspekt, -e|Wir müssen alle Aspekte berücksichtigen.|B2
o asilo|das Asyl, -e|Er hat Asyl in Deutschland beantragt.|B1
o galho|der Ast, -e|Der Ast ist vom Baum gefallen.|B1
a respiração|der Atem (kein Plural)|Er hält den Atem an.|B1
